"Title","Description","BiocVersion","SourceUrl","SourceVersion","DataProvided","Maintainer","RDataClass","ResourceName"
"BRCA.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","BRCA.methylation.20160128"
"COADREAD.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","COADREAD.methylation.20160128"
"GBMLGG.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","GBMLGG.methylation.20160128"
"KIPAN.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","KIPAN.methylation.20160128"
"KIRC.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","KIRC.methylation.20160128"
"KIRP.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","KIRP.methylation.20160128"
"LAML.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","LAML.methylation.20160128"
"LGG.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","LGG.methylation.20160128"
"LUAD.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","LUAD.methylation.20160128"
"LUSC.methylation.20160128"," Package provides methylation (humanmethylation27) datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Methylation
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/DNA+methylation
Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","LUSC.methylation.20160128"
